,Unnamed: 0,Address,City,State,Lat,Lon,Full Address
0,0,2960 C St Ste100,Anchorage,AK,61.19376825,-149.8871939,2960 C St Ste100 Anchorage AK
1,1,(military Post Access Required) 5800 Westover Ave,Jber,AK,61.23481273,-149.7664859,(military Post Access Required) 5800 Westover Ave Jber AK
2,2,1502 W Magnolia Ave Geneva,Albama,AL,31.04920938,-85.898079,1502 W Magnolia Ave Geneva Albama AL
3,3,8835 Us Hwy 431,Albertville,AL,34.28488729,-86.23096135,8835 Us Hwy 431 Albertville AL
4,4,1736 Hwy 431,Boaz,AL,34.21062215,-86.15433039,1736 Hwy 431 Boaz AL
5,5,487 South Boulevard,Brewton,AL,31.09922982,-87.07905837,487 South Boulevard Brewton AL
6,6,1845 Center Point Pkwy,Center Point,AL,33.63512789,-86.68359211,1845 Center Point Pkwy Center Point AL
7,7,1614  7th Street South,Clanton,AL,32.81329872,-86.60203844,1614  7th Street South Clanton AL
8,8,5901 Al Highway 157,Cullman,AL,34.2061534,-86.8735207,5901 Al Highway 157 Cullman AL
9,9,1511 Us Highway 98,Daphne,AL,30.60004782,-87.8988426,1511 Us Highway 98 Daphne AL
10,10,1827 Beltline Rd Sw,Decatur,AL,34.57515142,-87.01745308,1827 Beltline Rd Sw Decatur AL
11,11,107 Apple Avenue Suite #3,Dothan,AL,31.2389693,-85.466247,107 Apple Avenue Suite #3 Dothan AL
12,12,2231 Ross Clark Circle,Dothan,AL,31.19115022,-85.4051019,2231 Ross Clark Circle Dothan AL
13,13,3354 Montgomery Hwy,Dothan,AL,31.25476289,-85.42981516,3354 Montgomery Hwy Dothan AL
14,14,707 E Boll Weevil Cir,Enterprise,AL,31.32550547,-85.83381863,707 E Boll Weevil Cir Enterprise AL
15,15,1703 Florence Blvd,Florence,AL,34.82249524,-87.65171967,1703 Florence Blvd Florence AL
16,16,MLK Bypass,Andalusia,AL,31.3062589,-86.4986153,MLK Bypass Andalusia AL
17,17,1710 S Mckenzie St,Foley,AL,30.387386,-87.683963,1710 S Mckenzie St Foley AL
18,18,1502 Glenn Blvd Sw,Fort Payne,AL,34.43726,-85.752777,1502 Glenn Blvd Sw Fort Payne AL
19,19,(military Post Access Required) Fort Rucker Food Court,Fort Rucker,AL,31.3366198,-85.71280529,(military Post Access Required) Fort Rucker Food Court Fort Rucker AL
20,20,1724 W Grand Ave,Gadsden,AL,33.99556651,-86.08254553,1724 W Grand Ave Gadsden AL
21,21,406 E Meighan Blvd,Gadsden,AL,34.00985341,-85.98775306,406 E Meighan Blvd Gadsden AL
22,22,9201 Grand Bay Wilmer Road,Grand Bay,AL,30.49846786,-88.3336304,9201 Grand Bay Wilmer Road Grand Bay AL
23,23,5946 Hwy. 72 E,Gurley,AL,34.69922425,-86.38562478,5946 Hwy. 72 E Gurley AL
24,24,426 Al Hwy 69 South,Hanceville,AL,34.05082595,-86.87252368,426 Al Hwy 69 South Hanceville AL
25,25,Tbd Us Hwy 280,Harpersville,AL,33.3451156,-86.4401702,Tbd Us Hwy 280 Harpersville AL
26,26,2000 Galleria Cir,Hoover,AL,33.37935415,-86.80850119,2000 Galleria Cir Hoover AL
27,27,(military Post Access Required) 3220 Acton Dr,Huntsville,AL,34.69588182,-86.63155063,(military Post Access Required) 3220 Acton Dr Huntsville AL
28,28,3234 N Memorial Parkway,Huntsville,AL,34.76818678,-86.58633699,3234 N Memorial Parkway Huntsville AL
29,29,3820 University Dr Nw,Huntsville,AL,34.7356731,-86.62685484,3820 University Dr Nw Huntsville AL
30,30,7064 Us 72,Huntsville,AL,34.754975,-86.71099462,7064 Us 72 Huntsville AL
31,31,1925 Quintard Ave,Anniston,AL,33.67013074,-85.82646027,1925 Quintard Ave Anniston AL
32,32,4011 North College Ave,Jackson,AL,31.5547036,-87.87806279,4011 North College Ave Jackson AL
33,33,2203 Moody Pkwy,Leeds,AL,33.572872,-86.518834,2203 Moody Pkwy Leeds AL
34,34,75246 Alabama 77,Lincoln,AL,33.58669497,-86.1246323,75246 Alabama 77 Lincoln AL
35,35,22526 Highway 216,Mc Calla,AL,33.27952119,-87.09164902,22526 Highway 216 Mc Calla AL
36,36,Hwy 14 & I-65,Millbrook,AL,32.49328482,-86.4054475,Hwy 14 & I-65 Millbrook AL
37,37,1966 Government St,Mobile,AL,30.67626356,-88.0868003,1966 Government St Mobile AL
38,38,2825 Springhill Avenue,Mobile,AL,30.69771608,-88.10753935,2825 Springhill Avenue Mobile AL
39,39,3000 St Stephens Rd,Mobile,AL,30.7463077,-88.1114996,3000 St Stephens Rd Mobile AL
40,40,4009 Airport Blvd,Mobile,AL,30.67570448,-88.14924974,4009 Airport Blvd Mobile AL
41,41,5413 Highway 90 W,Mobile,AL,30.58963642,-88.16893302,5413 Highway 90 W Mobile AL
42,42,570 Schillinger Road,Mobile,AL,30.67847502,-88.22600282,570 Schillinger Road Mobile AL
43,43,750 Government St,Mobile,AL,30.6871736,-88.05161808,750 Government St Mobile AL
44,44,(military Post Access Required) 355 S Kelly St,Montgomery,AL,32.37454846,-86.35425407,(military Post Access Required) 355 S Kelly St Montgomery AL
45,45,2797 Eastern Blvd,Montgomery,AL,32.34426201,-86.22270454,2797 Eastern Blvd Montgomery AL
46,46,832 Ann St,Montgomery,AL,32.37040199,-86.27135252,832 Ann St Montgomery AL
47,47,876 North East Blvd,Montgomery,AL,32.406685,-86.214441,876 North East Blvd Montgomery AL
48,48,9036 Eastchase Parkway,Montgomery,AL,32.362836,-86.139408,9036 Eastchase Parkway Montgomery AL
49,49,955 W South Blvd,Montgomery,AL,32.32587308,-86.33030295,955 W South Blvd Montgomery AL
50,50,East South Blvd.,Montgomery,AL,32.32551681,-86.26724186,East South Blvd. Montgomery AL
51,51,2450 Mcfarland Blvd,Northport,AL,33.2409872,-87.58122143,2450 Mcfarland Blvd Northport AL
52,52,123 Colonial Dr.,Oxford,AL,33.61310465,-85.78824503,123 Colonial Dr. Oxford AL
53,53,"550 Us Hwy 72 West,",Athens,AL,34.79047909,-86.97496669,"550 Us Hwy 72 West, Athens AL"
54,54,1314 South Us Hwy 231,Ozark,AL,31.44497583,-85.65512249,1314 South Us Hwy 231 Ozark AL
55,55,3300 Pelham Pkwy,Pelham,AL,33.27963209,-86.81204066,3300 Pelham Pkwy Pelham AL
56,56,"119 Compromise Ct ,",Phenix City,AL,32.4702339,-85.0863037,"119 Compromise Ct , Phenix City AL"
57,57,3540 Us Hwy  280/431 N,Phenix City,AL,32.49493623,-85.0395352,3540 Us Hwy  280/431 N Phenix City AL
58,58,1723 E Main St,Prattville,AL,32.4609321,-86.42462905,1723 E Main St Prattville AL
59,59,3339 Rainbow Dr,Rainbow City,AL,33.95814289,-86.0385421,3339 Rainbow Dr Rainbow City AL
60,60,1030 Saraland Blvd S,Saraland,AL,30.79688477,-88.07152919,1030 Saraland Blvd S Saraland AL
61,61,1301 Stanley Way,Saraland,AL,30.803048,-88.1073884,1301 Stanley Way Saraland AL
62,62,3202 Broad St.,Scottsboro,AL,34.63133414,-86.04808611,3202 Broad St. Scottsboro AL
63,63,1221 Highland Ave,Selma,AL,32.43180522,-87.02033503,1221 Highland Ave Selma AL
64,64,7681 Moffett Road,Semmes,AL,30.75917663,-88.2230343,7681 Moffett Road Semmes AL
65,65,450 Main St,Shorter,AL,32.4034558,-85.9546803,450 Main St Shorter AL
66,66,108 North Wind River Road,Atmore,AL,31.1074523,-87.47691511,108 North Wind River Road Atmore AL
67,67,30765 Al-181,Spanish Fort,AL,30.672757,-87.852598,30765 Al-181 Spanish Fort AL
68,68,41260 Us Highway 280,Sylacauga,AL,33.17385479,-86.28917887,41260 Us Highway 280 Sylacauga AL
69,69,824 East Battle Street,Talladega,AL,33.43954387,-86.08362144,824 East Battle Street Talladega AL
70,70,1203 Highway 231 S,Troy,AL,31.78230392,-85.95403122,1203 Highway 231 S Troy AL
71,71,3501 Buttermilk Road,Tuscaloosa,AL,33.17592213,-87.4464332,3501 Buttermilk Road Tuscaloosa AL
72,72,3712 Mcfarland Blvd E,Tuscaloosa,AL,33.174428,-87.52528673,3712 Mcfarland Blvd E Tuscaloosa AL
73,73,33 Red Tail Lane,Tuskegee,AL,32.430237,-85.7077266,33 Red Tail Lane Tuskegee AL
74,74,2802 20th Avenue,Valley,AL,32.84711764,-85.18384494,2802 20th Avenue Valley AL
75,75,4900 Us Hwy 231 Wetumpka,Wetumpka,AL,32.5123134,-86.2125717,4900 Us Hwy 231 Wetumpka Wetumpka AL
76,76,1999 Opelika Rd,Auburn,AL,32.62886097,-85.4396117,1999 Opelika Rd Auburn AL
77,77,201 Mcmeans Ave,Bay Minette,AL,30.87912,-87.784361,201 Mcmeans Ave Bay Minette AL
78,78,932 9th Ave N,Bessemer,AL,33.3968954,-86.9693807,932 9th Ave N Bessemer AL
79,79,1717 Finley Blvd,Birmingham,AL,33.54020495,-86.82711993,1717 Finley Blvd Birmingham AL
80,80,2239 Bessemer Rd,Birmingham,AL,33.4960542,-86.87728296,2239 Bessemer Rd Birmingham AL
81,81,361 Palisades Blvd,Birmingham,AL,33.46825611,-86.81894897,361 Palisades Blvd Birmingham AL
82,82,4020 Messer Airport Hwy,Birmingham,AL,33.52940569,-86.77777481,4020 Messer Airport Hwy Birmingham AL
83,83,725 11th Ct W,Birmingham,AL,33.5221097,-86.8485375,725 11th Ct W Birmingham AL
84,84,1325 S Saint Louis St,Batesville,AR,35.76586247,-91.64066272,1325 S Saint Louis St Batesville AR
85,85,2012 Congo Rd,Benton,AR,34.58260835,-92.57268978,2012 Congo Rd Benton AR
86,86,2100 W Martin Luther King Blvd,Fayetteville,AR,36.05592587,-94.18990565,2100 W Martin Luther King Blvd Fayetteville AR
87,87,3101 N Washington St,Forrest City,AR,35.038881,-90.790163,3101 N Washington St Forrest City AR
88,88,2301 Zero St,Fort Smith,AR,35.3281791,-94.41060285,2301 Zero St Fort Smith AR
89,89,8150 Rogers Ave,Fort Smith,AR,35.34856628,-94.3423246,8150 Rogers Ave Fort Smith AR
90,90,130 East Grand Avenue,Hot Springs,AR,34.50263673,-93.04904115,130 East Grand Avenue Hot Springs AR
91,91,1508 Albert Pike Rd,Hot Springs,AR,34.49333682,-93.08801877,1508 Albert Pike Rd Hot Springs AR
92,92,4375 Central Ave,Hot Springs,AR,34.45188029,-93.0731733,4375 Central Ave Hot Springs AR
93,93,1502 W Main St,Jacksonville,AR,34.86708083,-92.12548842,1502 W Main St Jacksonville AR
94,94,1323 Red Wolf Blvd,Jonesboro,AR,35.83016789,-90.6693959,1323 Red Wolf Blvd Jonesboro AR
95,95,3305 Harrisburg Road,Jonesboro,AR,35.80423047,-90.69904404,3305 Harrisburg Road Jonesboro AR
96,96,10900 Colonel Glenn Rd,Little Rock,AR,34.71316854,-92.39865905,10900 Colonel Glenn Rd Little Rock AR
97,97,11401 Cantrell Rd,Little Rock,AR,34.79284382,-92.39934649,11401 Cantrell Rd Little Rock AR
98,98,11501 W Markham St,Little Rock,AR,34.75372234,-92.40313608,11501 W Markham St Little Rock AR
99,99,19600 Cantrell Rd.,Little Rock,AR,34.81190927,-92.49093447,19600 Cantrell Rd. Little Rock AR
100,100,3208 S University Ave,Little Rock,AR,34.7225921,-92.34256115,3208 S University Ave Little Rock AR
101,101,4900 W. Markham Rd,Little Rock,AR,34.7520955,-92.3276171,4900 W. Markham Rd Little Rock AR
102,102,824 S Broadway St,Little Rock,AR,34.7411382,-92.2771485,824 S Broadway St Little Rock AR
103,103,8815 Baseline Road,Little Rock,AR,34.6696668,-92.3764161,8815 Baseline Road Little Rock AR
104,104,431 Highway 425 N,Monticello,AR,33.63742492,-91.80186946,431 Highway 425 N Monticello AR
105,105,2887 Highway 62 E,Mounta,Mounta,36.35819893,-92.33925677,2887 Highway 62 E Mounta Mounta
106,106,12201 Maumelle Blvd,North Little Rock,AR,34.83169474,-92.39651509,12201 Maumelle Blvd North Little Rock AR
107,107,4415 E Mccain Blvd,North Little Rock,AR,34.78956089,-92.21518427,4415 E Mccain Blvd North Little Rock AR
108,108,4704 Camp Robinson Rd,North Little Rock,AR,34.79799945,-92.26887735,4704 Camp Robinson Rd North Little Rock AR
109,109,716 E Broadway St,North Little Rock,AR,34.75562562,-92.25968228,716 E Broadway St North Little Rock AR
110,110,"119 South  North Service Rd.,",Blytheville,AR,35.92775614,-89.87540143,"119 South  North Service Rd., Blytheville AR"
111,111,2001 W. Kingshighway,Paragould,AR,36.0572394,-90.5117547,2001 W. Kingshighway Paragould AR
112,112,2700 S Olive St,Pine Bluff,AR,34.20200721,-92.00745733,2700 S Olive St Pine Bluff AR
113,113,3411 S Camden Rd,Pine Bluff,AR,34.19413219,-92.05799907,3411 S Camden Rd Pine Bluff AR
114,114,2034 Oliver Lancaster Blvd,Rockport,AR,34.3884727,-92.82945091,2034 Oliver Lancaster Blvd Rockport AR
115,115,2044 W. Pleasant Grove Rd.,Rogers,AR,36.2825526,-94.1486699,2044 W. Pleasant Grove Rd. Rogers AR
116,116,2325 W Walnut St,Rogers,AR,36.33459479,-94.15164627,2325 W Walnut St Rogers AR
117,117,2411 E Parkway Dr,Russellville,AR,35.28293186,-93.10517022,2411 E Parkway Dr Russellville AR
118,118,1805 E Beebe Capps Expy,Searcy,AR,35.24036531,-91.71757021,1805 E Beebe Capps Expy Searcy AR
119,119,200 E Kiehl Ave,Sherwood,AR,34.83273793,-92.23029581,200 E Kiehl Ave Sherwood AR
120,120,3500 Hwy 412 East,Siloam Springs,AR,36.180348,-94.507126,3500 Hwy 412 East Siloam Springs AR
121,121,538 E Robinson Ave,Springdale,AR,36.16746043,-94.12670416,538 E Robinson Ave Springdale AR
122,122,5780 W Sunset Ave,Springdale,AR,36.17594245,-94.19449578,5780 W Sunset Ave Springdale AR
123,123,2104  S Main St,Stuttgart,AR,34.48098554,-91.55343069,2104  S Main St Stuttgart AR
124,124,2810 N. Reynolds Road,Bryant,AR,34.62068957,-92.49761398,2810 N. Reynolds Road Bryant AR
125,125,4302 N State Line Ave,Texarkana,AR,33.46597834,-94.04257103,4302 N State Line Ave Texarkana AR
126,126,505 N Plaza Dr.,Van Buren,AR,35.46040701,-94.35620305,505 N Plaza Dr. Van Buren AR
127,127,1344 N Missouri St,West Memphis,AR,35.1613043,-90.1850912,1344 N Missouri St West Memphis AR
128,128,8101 Sheridan Rd,White Hall,AR,34.26078262,-92.10157742,8101 Sheridan Rd White Hall AR
129,129,1470 N Falls Blvd.,Wynne,AR,35.23468172,-90.78386245,1470 N Falls Blvd. Wynne AR
130,130,3131 S 2nd St,Cabot,AR,34.94753947,-92.06019988,3131 S 2nd St Cabot AR
131,131,1390 Hwy 4 Bypass,Camden,AR,33.5681225,-92.6798344,1390 Hwy 4 Bypass Camden AR
132,132,1721 East Centerton Blvd,Centerton,AR,36.35742642,-94.25599652,1721 East Centerton Blvd Centerton AR
133,133,1345 E Oak St,Conway,AR,35.090777,-92.40932993,1345 E Oak St Conway AR
134,134,1720 Old Morrilton Hwy,Conway,AR,35.11248624,-92.44601643,1720 Old Morrilton Hwy Conway AR
135,135,912 Unity Rd,Crossett,AR,33.13748179,-91.94050472,912 Unity Rd Crossett AR
136,136,1745 N West Ave,El Dorado,AR,33.22932534,-92.66525517,1745 N West Ave El Dorado AR
137,137,10345 West Mcdowell Rd,Avondale,AZ,33.46407676,-112.2847463,10345 West Mcdowell Rd Avondale AZ
138,138,2223 East Florence Blvd,Casa Grande,AZ,32.87920894,-111.6914044,2223 East Florence Blvd Casa Grande AZ
139,139,946 W Beale St,Kingman,AZ,35.1901212,-114.0704231,946 W Beale St Kingman AZ
140,140,3510 W. Baseline Road,Laveen,AZ,33.37823619,-112.1350893,3510 W. Baseline Road Laveen AZ
